id;first_name;last_name;email;phone_number;hire_date;grade;job_title
1;Dawson;Parisian;Justine_Kuhn@gmail.com;Persistent Bulgarian Lev;2019-07-07T02:26:32;II1;DELIVERER
2;Wilmer;Nader;Kailee79@yahoo.com;Gloves Bedfordshire Argentine Peso;2019-07-07T00:07:14;III1;POSTMAN
3;Daniella;Heidenreich;Autumn_Daniel39@yahoo.com;Cambridgeshire hacking;2019-07-07T04:30:16;II3;MAIL_AGENT
4;Destany;Farrell;Chanel_Schumm51@yahoo.com;content-based Executive;2019-07-06T21:33:04;I2;HANDLER
5;Mohammed;Stamm;Russel_Torphy@hotmail.com;invoice Unbranded Cheese;2019-07-06T23:09:21;I2;POSTMAN
6;Ed;Crooks;Katelynn.Kuhic65@gmail.com;Devolved driver Networked;2019-07-07T12:54:41;II3;MANAGER
7;Minerva;O'Kon;Kenyon50@gmail.com;withdrawal Ergonomic;2019-07-07T06:33:51;II1;MANAGER
8;Jimmy;Nolan;Marcella.Kulas23@yahoo.com;Bedfordshire Alaska calculate;2019-07-07T19:40:28;III3;DELIVERER
9;Tavares;Tillman;Neha_Armstrong33@yahoo.com;Venezuela Wisconsin;2019-07-06T21:11:36;II2;POSTMAN
10;Ceasar;Hilpert;Gloria_Weber93@yahoo.com;Ergonomic Concrete Soap Zambian Kwacha;2019-07-07T12:06:49;III3;MAIL_AGENT
